Category,,,Number,,,,,Percent,,
and,,,,,40 and,,,,,40 and
offense,Total,Under 18,18-19  20-29,30-39,over,Total,Under 18,18-19  20-29,30-39,over
Total............................................,"293,509","16,288","13,037 97,612","87,778","78,794",100.0,5.5,4.4 33.3,29.9,26.8
Violent offenses.......................,"108,785","7,129","5,219 36,235","30,595","29,607",100.0,6.6,4.8 33.3,28.1,27.2
Homicide...............................,"1,352",68,117 529,318,320,100.0,5.0,8.7 39.1,23.5,23.7
Rape.....................................,"2,233",196,118 647,592,680,100.0,8.8,5.3 29.0,26.5,30.5
Robbery................................,"16,112","2,946","1,744 5,802","3,367","2,253",100.0,18.3,10.8 36.0,20.9,14.0
Assault..................................,"87,422","3,840","3,139 28,626","25,820","25,997",100.0,4.4,3.6 32.7,29.5,29.7
Kidnapping............................,"1,666",79,101 631,498,357,100.0,4.7,6.1 37.9,29.9,21.4
Property offenses....................,"68,357","4,030","3,166 23,786","22,186","15,189",100.0,5.9,4.6 34.8,32.5,22.2
Burglary................................,"19,884","1,536","1,179 7,149","5,967","4,053",100.0,7.7,5.9 36.0,30.0,20.4
Theft.....................................,"28,328","1,203","1,183 9,676","9,497","6,769",100.0,4.2,4.2 34.2,33.5,23.9
Motor vehicle theft................,"15,037","1,156","660 5,485","4,804","2,932",100.0,7.7,4.4 36.5,31.9,19.5
"Forgery, checks, access",,,,,,,,,,
cards....................................,"3,736",46,"115 1,127","1,472",976,100.0,1.2,3.1 30.2,39.4,26.1
Arson....................................,"1,372",89,29 349,446,459,100.0,6.5,2.1 25.4,32.5,33.5
Drug offenses..........................,"27,280",426,"786 8,047","8,483","9,538",100.0,1.6,2.9 29.5,31.1,35.0
Narcotics...............................,"8,600",149,"281 3,077","2,508","2,585",100.0,1.7,3.3 35.8,29.2,30.1
Marijuana..............................,"1,181",91,89 479,264,258,100.0,7.7,7.5 40.6,22.4,21.8
Dangerous drugs..................,"16,352",178,"373 4,087","5,393","6,321",100.0,1.1,2.3 25.0,33.0,38.7
Other.....................................,"1,147",8,43 404,318,374,100.0,0.7,3.7 35.2,27.7,32.6
Sex offenses............................,"5,403",472,"190 1,111","1,236","2,394",100.0,8.7,3.5 20.6,22.9,44.3
Lewd or lascivious................,"1,983",282,72 361,471,797,100.0,14.2,3.6 18.2,23.8,40.2
Other.....................................,"3,420",190,118 750,765,"1,597",100.0,5.6,3.5 21.9,22.4,46.7
Driving offenses.......................,"6,054",79,"225 2,458","1,555","1,737",100.0,1.3,3.7 40.6,25.7,28.7
Driving under the influence...,"4,953",35,"155 2,037","1,295","1,431",100.0,0.7,3.1 41.1,26.1,28.9
Hit-and-run............................,"1,101",44,70 421,260,306,100.0,4.0,6.4 38.2,23.6,27.8
All other...................................,"77,630","4,152","3,451 25,975","23,723","20,329",100.0,5.3,4.4 33.5,30.6,26.2
Weapons..............................,"22,477","1,728","1,460 8,094","6,174","5,021",100.0,7.7,6.5 36.0,27.5,22.3
Escape..................................,286,7,5 102,105,67,100.0,2.4,1.7 35.7,36.7,23.4
Other.....................................,"54,867","2,417","1,986 17,779","17,444","15,241",100.0,4.4,3.6 32.4,31.8,27.8
