"",,,Number,,,,,Percent,,
Offense,,,,,40 and,,,,,40 and
"",Total,Under 18,18-19 20-29,30-39,over,Total,Under 18,18-19 20-29,30-39,over
Total..........................................,"804,568","35,756","32,828 272,209","204,129","259,646",100.0,4.4,4.1 33.8,25.4,32.3
Assault and battery.................,"80,968","8,990","3,582 26,239","19,727","22,430",100.0,11.1,4.4 32.4,24.4,27.7
Burglary..................................,"17,735","1,809","1,325 6,007","4,029","4,565",100.0,10.2,7.5 33.9,22.7,25.7
Petty theft...............................,"43,104","5,632","2,856 13,625","9,458","11,533",100.0,13.1,6.6 31.6,21.9,26.8
Checks and access cards.......,"1,096",46,40 409,333,268,100.0,4.2,3.6 37.3,30.4,24.5
Marijuana................................,"5,861","3,215","538 1,127",510,471,100.0,54.9,9.2 19.2,8.7,8.0
Other drug..............................,"175,141","1,764","5,005 61,035","53,030","54,307",100.0,1.0,2.9 34.8,30.3,31.0
Indecent exposure..................,"1,427",41,37 365,391,593,100.0,2.9,2.6 25.6,27.4,41.6
Annoying children...................,539,98,61 127,91,162,100.0,18.2,11.3 23.6,16.9,30.1
Obscene matter......................,133,71,4 13,13,32,100.0,53.4,3.0 9.8,9.8,24.1
Lewd conduct.........................,"1,372",113,90 460,298,411,100.0,8.2,6.6 33.5,21.7,30.0
Prostitution.............................,"7,338",102,"715 3,574","1,466","1,481",100.0,1.4,9.7 48.7,20.0,20.2
Drunk......................................,"70,189",884,"2,411 21,781","16,414","28,699",100.0,1.3,3.4 31.0,23.4,40.9
Liquor laws.............................,"8,926","1,219","2,330 2,401",746,"2,230",100.0,13.7,26.1 26.9,8.4,25.0
Disturbing the peace...............,"3,922","1,260",173 951,573,965,100.0,32.1,4.4 24.2,14.6,24.6
Vandalism..............................,"9,646","1,978","714 3,085","1,962","1,907",100.0,20.5,7.4 32.0,20.3,19.8
Trespassing............................,"24,208","1,069","921 6,718","6,249","9,251",100.0,4.4,3.8 27.8,25.8,38.2
Weapons................................,"6,182","1,396","506 2,099","1,154","1,027",100.0,22.6,8.2 34.0,18.7,16.6
Driving under the influence.....,"125,963",462,"3,968 53,695","31,263","36,575",100.0,0.4,3.2 42.6,24.8,29.0
Hit-and-run.............................,"5,688",222,"487 2,284","1,132","1,563",100.0,3.9,8.6 40.2,19.9,27.5
Selected traffic violations........,"9,803",253,"989 4,359","2,130","2,072",100.0,2.6,10.1 44.5,21.7,21.1
Gambling................................,259,3,11 44,68,133,100.0,1.2,4.2 17.0,26.3,51.4
All other..................................,"205,068","5,129","6,065 61,811","53,092","78,971",100.0,2.5,3.0 30.1,25.9,38.5
