Offense,,,,,,40 and,,,,,,40 and
"",Total,Under 18,18-19,20-29,30-39,over,Total,Under 18,18-19,20-29,30-39,over
Total.......................................,"577,586","11,930","16,191","175,361","177,699","196,405",100.0,2.1,2.8,30.4,30.8,34.0
Assault and battery.............,"69,305","3,938","2,297","20,877","20,075","22,118",100.0,5.7,3.3,30.1,29.0,31.9
Burglary...............................,"7,694",405,314,"2,377","2,373","2,225",100.0,5.3,4.1,30.9,30.8,28.9
Petty theft............................,"18,427",938,612,"5,158","5,597","6,122",100.0,5.1,3.3,28.0,30.4,33.2
Checks and access cards...,907,15,33,286,315,258,100.0,1.7,3.6,31.5,34.7,28.4
Marijuana............................,"2,973",359,257,"1,063",661,633,100.0,12.1,8.6,35.8,22.2,21.3
Other drug...........................,"158,652",514,"1,988","44,822","57,647","53,681",100.0,0.3,1.3,28.3,36.3,33.8
Indecent exposure...............,"1,319",15,18,368,402,516,100.0,1.1,1.4,27.9,30.5,39.1
Annoying children................,357,31,32,83,90,121,100.0,8.7,9.0,23.2,25.2,33.9
Obscene matter...................,63,26,1,10,11,15,100.0,41.3,1.6,15.9,17.5,23.8
Lewd conduct......................,836,25,24,228,224,335,100.0,3.0,2.9,27.3,26.8,40.1
Prostitution..........................,"4,233",5,435,"2,110",817,866,100.0,0.1,10.3,49.8,19.3,20.5
Drunk..................................,"36,098",272,891,"10,230","10,127","14,578",100.0,0.8,2.5,28.3,28.1,40.4
Liquor laws..........................,"2,763",448,806,754,243,512,100.0,16.2,29.2,27.3,8.8,18.5
Disturbing the peace...........,"2,680",361,120,876,593,730,100.0,13.5,4.5,32.7,22.1,27.2
Vandalism...........................,"7,811",852,345,"2,509","2,137","1,968",100.0,10.9,4.4,32.1,27.4,25.2
Trespassing........................,"23,568",518,416,"5,590","7,442","9,602",100.0,2.2,1.8,23.7,31.6,40.7
Weapons.............................,"4,829",416,285,"1,771","1,223","1,134",100.0,8.6,5.9,36.7,25.3,23.5
Driving under the influence..,"92,048",411,"2,897","36,321","25,510","26,909",100.0,0.4,3.1,39.5,27.7,29.2
Hit-and-run..........................,"4,276",121,294,"1,601",981,"1,279",100.0,2.8,6.9,37.4,22.9,29.9
Selected traffic violations.....,"7,364",278,"1,289","3,729","1,214",854,100.0,3.8,17.5,50.6,16.5,11.6
Gambling.............................,615,1,8,125,204,277,100.0,0.2,1.3,20.3,33.2,45.0
All other...............................,"130,768","1,981","2,829","34,473","39,813","51,672",100.0,1.5,2.2,26.4,30.4,39.5
