year,diff_to_19,diff_20_29,diff_30_39,diff_40_plus
2000,43.097376255548,138.2901078575041,-16.016866232641462,-30.51532891022783
2001,42.549342457634,148.51757523397063,-23.513232419711287,-30.560610090472135
2002,43.600425902952935,148.42456384178644,-22.02762420175361,-31.078568436749865
2003,36.63984482433298,158.2413062842648,-17.28340107363877,-31.14861034598964
2004,32.78695488456009,161.68892236611185,-15.461227369704844,-30.894879555506133
2005,35.39541967801,162.9947291806501,-18.753356840092067,-31.432898569138132
2006,36.373572818299436,163.58881688344866,-19.695238017492287,-31.769457257041815
2007,36.78188415912663,162.71965920944604,-16.326220846281032,-32.26612244753514
2008,36.589154314926105,166.49417648425617,-16.713984755004148,-32.723726113469134
2009,37.691821516048606,167.90202257260847,-16.567330391045175,-33.200633091199926
2010,45.15930892445752,153.48883502977918,-15.490812135479786,-33.239191691600226
2011,65.97514025508596,103.89273086714059,-6.441813879972528,-32.814593072103804
2012,59.66047237926628,105.61785192371596,3.9502882263775945,-32.5892050427917
2013,51.35158223362504,119.89261915026304,2.4845851994837176,-32.122886132564936
2014,43.892990392121476,120.97549037741854,9.253544649940167,-31.133381529569007
2015,42.577447641339774,108.18794577682164,15.312799558512452,-29.55190439075463
2016,41.66151534979943,103.16502028343857,20.121262172794758,-29.082988433216183
2017,67.06029455687496,84.70358485674078,11.782581867847313,-31.468652972885884
2018,53.90638115171174,101.36258027452368,8.777285060056286,-29.87227254544797
2019,43.31316198233682,114.35223353022087,7.801784290444843,-28.631928785452267
2020,-26.95785295411119,146.9780306524425,60.89044949984486,-23.103588232684974
